IncidntNum,Descript,DayOfWeek,Date,Time
160279864,FOUND PROPERTY,Tuesday,04-05-2016 00:00,11:41
160840625,FOUND PROPERTY,Saturday,10/15/2016 12:00:00 AM,10:45
160280059,FOUND PROPERTY,Tuesday,04-05-2016 00:00,11:54
160281085,FOUND PROPERTY,Tuesday,04-05-2016 00:00,17:15
160281201,FOUND PROPERTY,Tuesday,04-05-2016 00:00,11:42
160281803,FOUND PROPERTY,Tuesday,04-05-2016 00:00,16:00
160283774,FOUND PROPERTY,Wednesday,04-06-2016 00:00,15:00
160284095,FOUND PROPERTY,Wednesday,04-06-2016 00:00,16:05
160284136,FOUND PROPERTY,Wednesday,04-06-2016 00:00,13:30
160285134,FOUND PROPERTY,Tuesday,03/29/2016 12:00:00 AM,16:40
160285485,FOUND PROPERTY,Wednesday,04-06-2016 00:00,02:12
160285491,FOUND PROPERTY,Thursday,04-07-2016 00:00,00:45
160285526,FOUND PROPERTY,Tuesday,04-05-2016 00:00,17:05
160273123,FOUND PROPERTY,Saturday,04-02-2016 00:00,19:30
160286762,FOUND PROPERTY,Thursday,04-07-2016 00:00,11:40
160287027,FOUND PROPERTY,Saturday,04-02-2016 00:00,10:30
160144405,FOUND PROPERTY,Wednesday,02/17/2016 12:00:00 AM,14:00
160288871,FOUND PROPERTY,Friday,04-08-2016 00:00,06:00
160289023,FOUND PROPERTY,Friday,04-08-2016 00:00,09:00
160844893,FOUND PROPERTY,Monday,10/17/2016 12:00:00 AM,00:36
160289891,FOUND PROPERTY,Friday,04-08-2016 00:00,12:45
160146081,FOUND PROPERTY,Thursday,02/18/2016 12:00:00 AM,18:30
160868611,FOUND PROPERTY,Monday,10/24/2016 12:00:00 AM,05:00
160291799,FOUND PROPERTY,Saturday,04-09-2016 00:00,10:34
160292593,FOUND PROPERTY,Saturday,04-09-2016 00:00,15:46
160292678,FOUND PROPERTY,Saturday,04-09-2016 00:00,14:30
160292872,FOUND PROPERTY,Saturday,04-09-2016 00:00,15:00
160293416,FOUND PROPERTY,Saturday,04-09-2016 00:00,17:50
160251094,FOUND PROPERTY,Saturday,03/26/2016 12:00:00 AM,16:22
160296313,FOUND PROPERTY,Tuesday,04-05-2016 00:00,21:00
160253448,FOUND PROPERTY,Sunday,03/27/2016 12:00:00 AM,13:56
160254082,FOUND PROPERTY,Sunday,03/27/2016 12:00:00 AM,18:00
160150220,FOUND PROPERTY,Saturday,02/20/2016 12:00:00 AM,08:30
160150509,FOUND PROPERTY,Thursday,02-11-2016 00:00,12:00
160297850,FOUND PROPERTY,Saturday,04-09-2016 00:00,04:00
160297929,FOUND PROPERTY,Saturday,04-02-2016 00:00,09:00
160151284,FOUND PROPERTY,Saturday,02/20/2016 12:00:00 AM,17:00
160255137,FOUND PROPERTY,Monday,03/28/2016 12:00:00 AM,02:46
160151955,FOUND PROPERTY,Saturday,02/20/2016 12:00:00 AM,22:30
160300083,FOUND PROPERTY,Tuesday,04-12-2016 00:00,09:30
160153092,FOUND PROPERTY,Sunday,02/21/2016 12:00:00 AM,09:00
160153105,FOUND PROPERTY,Saturday,02/20/2016 12:00:00 AM,13:00
160303883,FOUND PROPERTY,Tuesday,04-12-2016 00:00,21:30
160304392,FOUND PROPERTY,Wednesday,04/13/2016 12:00:00 AM,13:00
160362544,FOUND PROPERTY,Friday,04/29/2016 12:00:00 AM,13:00
160306611,FOUND PROPERTY,Thursday,04/14/2016 12:00:00 AM,10:00
160307415,FOUND PROPERTY,Thursday,04/14/2016 12:00:00 AM,16:00
160308140,FOUND PROPERTY,Thursday,04/14/2016 12:00:00 AM,16:50
160259935,FOUND PROPERTY,Tuesday,03/29/2016 12:00:00 AM,14:39
160309455,FOUND PROPERTY,Friday,04/15/2016 12:00:00 AM,11:12
160309972,FOUND PROPERTY,Wednesday,04/13/2016 12:00:00 AM,09:30
160311024,FOUND PROPERTY,Friday,04/15/2016 12:00:00 AM,20:50
160311234,FOUND PROPERTY,Friday,04/15/2016 12:00:00 AM,21:30
160311325,FOUND PROPERTY,Friday,04/15/2016 12:00:00 AM,23:02
160311507,FOUND PROPERTY,Friday,04/15/2016 12:00:00 AM,21:31
160935395,FOUND PROPERTY,Wednesday,11/16/2016 12:00:00 AM,23:00
160157527,FOUND PROPERTY,Monday,02/22/2016 12:00:00 AM,15:00
160262154,FOUND PROPERTY,Monday,03/28/2016 12:00:00 AM,10:00
160315048,FOUND PROPERTY,Saturday,04/16/2016 12:00:00 AM,16:30
160315054,FOUND PROPERTY,Saturday,04/16/2016 12:00:00 AM,20:00
160315719,FOUND PROPERTY,Sunday,04/17/2016 12:00:00 AM,06:00
160158296,FOUND PROPERTY,Tuesday,02/23/2016 12:00:00 AM,07:35
160158945,FOUND PROPERTY,Thursday,02/18/2016 12:00:00 AM,13:00
160159410,FOUND PROPERTY,Sunday,02/21/2016 12:00:00 AM,11:30
160318315,FOUND PROPERTY,Monday,04/18/2016 12:00:00 AM,14:55
160318462,FOUND PROPERTY,Saturday,04/16/2016 12:00:00 AM,09:00
160263936,FOUND PROPERTY,Wednesday,03/30/2016 12:00:00 AM,21:30
160319216,FOUND PROPERTY,Monday,04/18/2016 12:00:00 AM,20:00
160319830,FOUND PROPERTY,Monday,04/18/2016 12:00:00 AM,13:00
160319959,FOUND PROPERTY,Tuesday,04/19/2016 12:00:00 AM,08:34
