IncidntNum,Descript,DayOfWeek,Date,Time
160984938,LOST PROPERTY,Sunday,12-04-2016 00:00,13:15
160987318,LOST PROPERTY,Friday,12-02-2016 00:00,03:00
160987960,LOST PROPERTY,Tuesday,08/16/2016 12:00:00 AM,12:00
160990543,LOST PROPERTY,Tuesday,12-06-2016 00:00,11:00
160990991,LOST PROPERTY,Monday,12-05-2016 00:00,17:53
160991193,LOST PROPERTY,Tuesday,12-06-2016 00:00,10:30
166070432,LOST PROPERTY,Tuesday,03/22/2016 12:00:00 AM,19:30
166070482,LOST PROPERTY,Wednesday,03/23/2016 12:00:00 AM,12:00
160993456,LOST PROPERTY,Tuesday,12-06-2016 00:00,18:00
160993989,LOST PROPERTY,Friday,10/28/2016 12:00:00 AM,08:40
160994432,LOST PROPERTY,Tuesday,11/29/2016 12:00:00 AM,12:00
160469457,LOST PROPERTY,Monday,05-02-2016 00:00,09:00
166031064,LOST PROPERTY,Friday,01/29/2016 12:00:00 AM,21:30
160995678,LOST PROPERTY,Sunday,12-04-2016 00:00,14:00
160995894,LOST PROPERTY,Wednesday,12-07-2016 00:00,20:00
160996331,LOST PROPERTY,Monday,12-05-2016 00:00,12:00
166033424,LOST PROPERTY,Sunday,01/24/2016 12:00:00 AM,02:59
166076872,LOST PROPERTY,Saturday,04-02-2016 00:00,21:00
160469924,LOST PROPERTY,Thursday,06-09-2016 00:00,12:00
166077369,LOST PROPERTY,Sunday,04-03-2016 00:00,01:30
160997276,LOST PROPERTY,Thursday,12-08-2016 00:00,16:30
160999028,LOST PROPERTY,Monday,11/28/2016 12:00:00 AM,15:00
160999200,LOST PROPERTY,Friday,07/29/2016 12:00:00 AM,16:45
160999921,LOST PROPERTY,Thursday,12-08-2016 00:00,19:00
160470476,LOST PROPERTY,Tuesday,06-07-2016 00:00,09:00
161001761,LOST PROPERTY,Friday,12-09-2016 00:00,20:00
161001830,LOST PROPERTY,Friday,12-09-2016 00:00,02:00
161001937,LOST PROPERTY,Tuesday,12-06-2016 00:00,12:00
161003444,LOST PROPERTY,Saturday,12-10-2016 00:00,19:30
161004527,LOST PROPERTY,Saturday,12-10-2016 00:00,12:00
161007684,LOST PROPERTY,Tuesday,12-06-2016 00:00,12:00
161007894,LOST PROPERTY,Sunday,12-11-2016 00:00,00:01
161008080,LOST PROPERTY,Monday,10-10-2016 00:00,16:15
161008193,LOST PROPERTY,Sunday,12-11-2016 00:00,12:00
160470608,LOST PROPERTY,Monday,06-06-2016 00:00,09:00
166095004,LOST PROPERTY,Tuesday,04/26/2016 12:00:00 AM,08:30
161010530,LOST PROPERTY,Monday,12-12-2016 00:00,19:00
161011259,LOST PROPERTY,Tuesday,11/22/2016 12:00:00 AM,20:00
166099517,LOST PROPERTY,Tuesday,02-02-2016 00:00,15:30
161013415,LOST PROPERTY,Wednesday,12/14/2016 12:00:00 AM,09:45
161014087,LOST PROPERTY,Tuesday,12/13/2016 12:00:00 AM,23:59
161014548,LOST PROPERTY,Wednesday,12/14/2016 12:00:00 AM,12:30
161015314,LOST PROPERTY,Wednesday,12/14/2016 12:00:00 AM,18:00
161015706,LOST PROPERTY,Wednesday,12/14/2016 12:00:00 AM,20:50
166062627,LOST PROPERTY,Sunday,03/13/2016 12:00:00 AM,19:57
161016516,LOST PROPERTY,Wednesday,12/14/2016 12:00:00 AM,22:00
161017229,LOST PROPERTY,Thursday,12/15/2016 12:00:00 AM,13:00
161017401,LOST PROPERTY,Tuesday,12/13/2016 12:00:00 AM,17:15
161017865,LOST PROPERTY,Wednesday,12/14/2016 12:00:00 AM,16:00
161018186,LOST PROPERTY,Thursday,12/15/2016 12:00:00 AM,14:30
161018299,LOST PROPERTY,Friday,09-02-2016 00:00,19:00
161018415,LOST PROPERTY,Thursday,12/15/2016 12:00:00 AM,19:50
166108538,LOST PROPERTY,Monday,04/25/2016 12:00:00 AM,08:00
161019689,LOST PROPERTY,Thursday,12/15/2016 12:00:00 AM,09:30
161020175,LOST PROPERTY,Wednesday,12/14/2016 12:00:00 AM,23:30
161020216,LOST PROPERTY,Saturday,12-10-2016 00:00,01:00
161020288,LOST PROPERTY,Thursday,12/15/2016 12:00:00 AM,19:00
161020329,LOST PROPERTY,Thursday,10/13/2016 12:00:00 AM,07:00
166110577,LOST PROPERTY,Sunday,04/24/2016 12:00:00 AM,13:30
161020749,LOST PROPERTY,Friday,12/16/2016 12:00:00 AM,11:00
161021377,LOST PROPERTY,Friday,12/16/2016 12:00:00 AM,12:20
161023141,LOST PROPERTY,Thursday,12/15/2016 12:00:00 AM,15:00
161023317,LOST PROPERTY,Friday,12/16/2016 12:00:00 AM,23:00
161023527,LOST PROPERTY,Saturday,12/17/2016 12:00:00 AM,11:00
161023903,LOST PROPERTY,Thursday,12/15/2016 12:00:00 AM,15:00
161023925,LOST PROPERTY,Saturday,12/17/2016 12:00:00 AM,09:13
161024387,LOST PROPERTY,Saturday,12/17/2016 12:00:00 AM,17:35
161024553,LOST PROPERTY,Monday,10-10-2016 00:00,10:00
166117379,LOST PROPERTY,Friday,05/20/2016 12:00:00 AM,17:19
161025307,LOST PROPERTY,Sunday,12/18/2016 12:00:00 AM,01:00
161025620,LOST PROPERTY,Sunday,12/18/2016 12:00:00 AM,00:01
